nickname,score,Ghost - timestamp,Ghost - score,Random Cycles - timestamp,Random Cycles - score,Easy login - timestamp,Easy login - score,Age Calculator Pro - timestamp,Age Calculator Pro - score,Pretty please - timestamp,Pretty please - score,ToDO - timestamp,ToDO - score,Monty Hall - timestamp,Monty Hall - score,Random Cycles Baby - timestamp,Random Cycles Baby - score,Sanity check - timestamp,Sanity check - score,Secure Filemanager - timestamp,Secure Filemanager - score,ARX designer - timestamp,ARX designer - score,Section31 - timestamp,Section31 - score
KLPP,900,,,1712410051188,300,,,,,1712412280308,100,,,,,1712410231979,125,1712410266190,50,1712410314288,125,1712411477336,200,,
gm_simo,900,1712412627840,175,,,1712411389358,150,1712410982340,275,1712412744871,100,,,,,,,,,1712411149889,125,,,1712411880420,75
carr,875,1712418413155,175,,,,,1712411014319,275,1712412220601,100,,,,,,,1712411646511,50,,,1712422766615,200,1712408885809,75
dachef,850,,,,,1712413500275,150,,,1712410360837,100,,,1712418999254,225,1712412952704,125,1712408938086,50,1712409146985,125,,,1712413162335,75
Mazza,825,,,,,1712413234517,150,,,1712412394353,100,,,,,1712413022870,125,1712412251305,50,1712413092933,125,1712409236573,200,1712413417957,75
Dandelion,800,,,1712416843137,300,,,,,,,,,,,1712410432202,125,1712408814655,50,1712417179809,125,1712412434343,200,,
ftw,800,1712417413910,175,,,1712412924491,150,,,1712408482269,100,,,,,1712419654181,125,1712408407555,50,1712420091540,125,,,1712408891700,75
Fabiom,750,,,,,1712422053199,150,,,1712409047146,100,,,,,1712418863784,125,1712408636371,50,1712421415142,125,1712420081309,200,,
lorenzobunaj,750,,,,,1712422303076,150,,,1712409234274,100,,,,,1712414252091,125,1712408525740,50,1712421428147,125,1712419719881,200,,
castilho,700,,,,,1712415568416,150,,,1712411775691,100,1712416661884,200,,,,,1712411970715,50,1712412241140,125,,,1712415422280,75
meni,700,,,,,1712420534093,150,,,1712416631080,100,1712419475425,200,,,1712415251297,125,1712415765226,50,,,,,1712421377945,75
manueee_13,675,1712411321388,175,,,1712410556912,150,,,1712408589007,100,,,,,,,1712408417469,50,1712410332621,125,,,1712409866015,75
aturt13,675,1712412516256,175,,,1712409338938,150,,,1712408627000,100,,,,,,,1712408484900,50,1712408826828,125,,,1712409525959,75
Lucia,675,,,,,,,,,1712410958118,100,,,,,1712412302916,125,1712408422334,50,1712409543292,125,1712416147017,200,1712412939707,75
Finatt,675,,,,,,,,,1712413267214,100,,,,,1712412428606,125,1712413025146,50,1712413098755,125,1712416186106,200,1712412919923,75
ddisp,625,,,,,1712411114516,150,,,1712408491860,100,,,,,1712410876788,125,1712408446253,50,1712410935049,125,,,1712411325287,75
andrei3213,625,,,,,1712410921638,150,,,1712410416410,100,,,,,1712411982282,125,1712408407248,50,1712409110581,125,,,1712410159310,75
alessandro_storsillo,625,,,,,1712410103390,150,,,1712409190543,100,,,,,1712412181759,125,1712408925545,50,1712411436045,125,,,1712410758536,75
justlel,625,,,,,1712412424211,150,,,1712408492340,100,1712410449106,200,,,,,1712412136377,50,1712412273429,125,,,,
Argh,625,,,,,1712411401890,150,,,1712408635846,100,,,,,1712411688497,125,1712408405626,50,1712413939658,125,,,1712409331286,75
pigeon,625,,,,,1712410040865,150,,,1712408760895,100,,,,,1712414460390,125,1712408414421,50,1712408907815,125,,,1712408609332,75
Antostarwars,625,,,,,1712413453738,150,,,1712409833298,100,,,,,1712416060415,125,1712411077775,50,1712412437545,125,,,1712414054736,75
Vic,625,,,,,1712418099835,150,,,1712415954522,100,,,,,1712415749528,125,1712415789555,50,1712416457891,125,,,1712416957902,75
stefan,625,,,,,1712419489372,150,,,1712410585819,100,,,,,1712420975448,125,1712410113884,50,1712410263425,125,,,1712411156933,75
oaõis,625,,,,,1712416534750,150,,,1712408843482,100,,,,,1712421873537,125,1712408436258,50,1712408589023,125,,,1712409954277,75
profiluefter,625,,,,,1712421444713,150,,,1712421528580,100,1712422768912,200,,,,,1712421306922,50,1712421374545,125,,,,
floating_mouse,575,1712409608266,175,,,,,1712410822933,275,,,,,,,,,1712408425302,50,,,,,1712408551854,75
Simo,550,,,,,,,,,1712413097558,100,,,,,1712413959294,125,1712410041370,50,,,1712413119900,200,1712416561766,75
marcus19,550,1712418279352,175,,,1712414498135,150,,,1712410820443,100,,,,,,,1712410097865,50,,,,,1712412333339,75
capibara,550,,,,,1712422704000,150,,,1712420118706,100,,,,,1712418715047,125,1712419746990,50,1712421289394,125,,,,
SamuJordan23,525,1712409738374,175,,,,,,,1712408882960,100,,,,,,,1712408412427,50,1712408826132,125,,,1712409364674,75
LEOSCHUMY,500,,,,,1712408801989,150,,,1712409023871,100,,,,,,,1712408406950,50,1712408603736,125,,,1712409740636,75
Titto,500,,,,,1712409225223,150,,,1712408636380,100,,,,,,,1712408563305,50,1712409067729,125,,,1712409970082,75
Puschel,500,,,,,1712408812079,150,,,1712408538026,100,,,,,,,1712408485935,50,1712408631468,125,,,1712410372257,75
Davideko,500,,,,,1712410937620,150,,,1712410031737,100,,,,,,,1712409808083,50,1712410275968,125,,,1712411057747,75
AkOs49,500,,,,,1712411407007,150,,,1712410667065,100,,,,,,,1712408410534,50,1712408828985,125,,,1712409558686,75
Davy,500,,,,,1712412703758,150,,,1712409312855,100,,,,,,,1712408413844,50,1712408506706,125,,,1712409436771,75
tuzzo18,500,,,,,1712410595284,150,,,1712408919988,100,,,,,,,1712408441198,50,1712409486559,125,,,1712412777496,75
Brex12,500,,,,,1712413726785,150,,,1712412582436,100,,,,,,,1712412464617,50,1712414227847,125,,,1712415856655,75
ICEbear,500,,,,,1712415425551,150,,,1712409060070,100,,,,,,,1712408740607,50,1712415413351,125,,,1712415911109,75
Nico,500,,,,,1712415868107,150,,,1712416394345,100,,,,,,,1712415069951,50,1712415135328,125,,,1712417406944,75
S-Mancl,500,,,,,1712410552181,150,,,1712410820040,100,,,,,,,1712408757670,50,1712408750622,125,,,1712417864686,75
Mx05,500,,,,,1712419193023,150,,,1712414791371,100,,,,,,,1712413980466,50,1712414126334,125,,,1712418673906,75
manuel,500,,,,,1712415763336,150,,,1712416165243,100,,,,,,,1712408786469,50,1712409111037,125,,,1712419356599,75
fl3ch4,500,,,,,1712419846848,150,,,1712415460252,100,,,,,,,1712413034861,50,1712420421838,125,,,1712413527727,75
p4rr4,500,,,,,1712421741769,150,,,1712421489850,100,,,,,,,1712409649617,50,1712421917133,125,,,1712421099003,75
Bekica,475,,,,,,,,,1712409379526,100,,,,,1712412341919,125,1712409430761,50,1712410475865,125,,,1712411126244,75
Morton,475,,,,,,,,,1712410597579,100,,,,,1712419801583,125,1712408415153,50,1712412000843,125,,,1712408849577,75
Cubetto,425,,,,,1712409929564,150,,,1712410153638,100,,,,,,,1712408440930,50,1712408989341,125,,,,
gi.pedroncelli@gmail.com,425,,,,,1712411485279,150,,,1712409820757,100,,,,,1712411145440,125,1712408462561,50,,,,,,
GreyHat,425,,,,,1712411742643,150,,,1712411796302,100,,,,,,,1712410777092,50,1712411101166,125,,,,
Simozb,425,,,,,1712412117757,150,,,1712412198094,100,,,,,,,1712411816552,50,1712411864678,125,,,,
H3r0F1r3,425,,,,,1712412245847,150,,,1712412530936,100,,,,,,,1712410111326,50,1712410397525,125,,,,
purechaos,425,,,,,1712412324931,150,,,1712411254869,100,,,,,,,1712411324155,50,1712412929194,125,,,,
auernige,425,,,,,1712416798247,150,,,1712417019522,100,,,,,,,1712415713150,50,1712416671840,125,,,,
shirajuki,425,,,,,1712417735032,150,,,1712417556913,100,,,,,,,1712417527334,50,1712417618438,125,,,,
padler,425,,,,,1712419019882,150,,,1712411129364,100,,,,,,,1712410380416,50,1712412265496,125,,,,
bluePrint,425,,,,,1712420083020,150,,,1712409415378,100,,,,,,,1712408950197,50,1712409059448,125,,,,
dANGEL,425,,,,,,,,,1712410853101,100,1712422315990,200,,,,,1712410878849,50,,,,,1712422430961,75
Bu33le5Blast,425,,,,,1712422743587,150,,,1712418643465,100,,,,,,,1712417619430,50,1712418281059,125,,,,
h0lym4ntel,400,1712419848272,175,,,,,,,1712409960983,100,,,,,,,1712408435287,50,,,,,1712410927821,75
M4nu,400,1712422520762,175,,,,,,,1712420209096,100,,,,,,,1712419421428,50,,,,,1712421267678,75
RTootskie,375,,,,,1712409776031,150,,,1712409999646,100,,,,,,,1712408562218,50,,,,,1712411342918,75
KefzzY,375,,,,,1712409889532,150,,,1712410404480,100,,,,,,,1712408681456,50,,,,,1712411477276,75
1337,375,,,,,1712410076937,150,,,1712408519983,100,,,,,,,1712408760214,50,,,,,1712415282044,75
DoNotSpamPls,375,,,,,1712409770341,150,,,1712409672847,100,,,,,,,1712409402024,50,,,,,1712418823611,75
rL0st,375,,,,,,,,,,,,,,,1712408893152,125,1712422453095,50,,,1712413645080,200,,
Jee-Dee,375,,,,,,,,,,,1712422678177,200,,,,,1712410559010,50,1712414823874,125,,,,
notslippy,350,,,,,,,,,1712408996404,100,,,,,,,1712408614703,50,1712409732509,125,,,1712409604842,75
lorenzosmathis,350,,,,,,,,,1712409875632,100,,,,,,,1712409779502,50,1712410534177,125,,,1712410200894,75
.wb,350,,,,,,,,,1712408815935,100,,,,,,,1712408535005,50,1712410728060,125,,,1712410591186,75
calMn31,350,,,,,,,,,1712408472726,100,1712410761852,200,,,,,1712408409229,50,,,,,,
Valeryum999,350,,,,,,,,,1712412066363,100,,,,,,,1712411612652,50,1712411649837,125,,,1712412457215,75
remyroam,350,,,,,,,,,1712414034089,100,,,,,,,1712410196043,50,1712410815294,125,,,1712414892389,75
Smintal,350,,,,,,,,,1712414613766,100,,,,,,,1712414121235,50,1712417279494,125,,,1712415460445,75
jojo_suga,350,,,,,,,,,1712410957011,100,,,,,1712415864405,125,1712410636086,50,,,,,1712417892945,75
Zaff,350,,,,,,,,,1712415359551,100,1712418449514,200,,,,,1712419420945,50,,,,,,
Sarah_falco,350,,,,,,,,,1712420621468,100,,,,,1712418171382,125,1712416789579,50,,,,,1712417588080,75
Xenia,350,,,,,,,,,1712418292743,100,,,,,1712421452469,125,1712418140466,50,,,,,1712422014648,75
trascendentaleh,350,,,,,,,,,1712411886534,100,,,,,,,1712408418731,50,1712422412940,125,,,1712412903888,75
Poli,325,,,,,,,,,,,,,,,1712410730386,125,,,,,1712412593643,200,,
XMich49,325,1712416304489,175,,,,,,,1712408584611,100,,,,,,,1712408427271,50,,,,,,
kallari,325,,,,,,,1712419976969,275,,,,,,,,,1712417428861,50,,,,,,
lukasLUKCZ,300,,,,,1712409498691,150,,,1712409604637,100,,,,,,,1712409519579,50,,,,,,
Ninus,300,,,,,1712410335564,150,,,1712411072510,100,,,,,,,1712408425006,50,,,,,,
Patsipede,300,,,,,1712415298929,150,,,1712411837298,100,,,,,,,1712411178277,50,,,,,,
Aidan,300,,,,,,,,,1712418043357,100,1712419441637,200,,,,,,,,,,,,
Dannie S.,300,,,,,1712420753043,150,,,1712419159612,100,,,,,,,1712412330021,50,,,,,,
x55xaa,275,,,,,,,,,1712408758997,100,,,,,,,1712408410075,50,1712408649120,125,,,,
johan,275,,,,,,,,,1712411094388,100,,,,,,,1712409954553,50,1712410836064,125,,,,
Marsi,275,,,,,,,,,1712410525997,100,,,,,1712411153192,125,1712409097560,50,,,,,,
CyberDreamer,275,,,,,,,,,1712417240499,100,,,,,,,1712417190327,50,1712417216810,125,,,,
Kamelisa,275,,,,,,,,,1712414559312,100,,,,,1712417840696,125,1712413778240,50,,,,,,
abcdef,275,,,,,,,,,1712418727861,100,,,,,,,1712418520879,50,1712418613193,125,,,,
Ace,275,,,,,,,,,1712410705160,100,,,,,1712420697588,125,1712410237001,50,,,,,,
Jojo123,275,,,,,,,,,1712416279057,100,,,,,1712421007623,125,1712408463040,50,,,,,,
LWLawman,275,,,,,,,,,1712421150538,100,,,,,,,1712420129624,50,1712420311117,125,,,,
lucca,275,,,,,,,,,1712420036911,100,,,,,,,1712419929559,50,1712421248448,125,,,,
.jov,275,,,,,,,,,1712420933547,100,,,,,,,1712418923308,50,1712422497592,125,,,,
Dozerth,275,,,,,,,,,1712421779093,100,,,,,,,1712421802044,50,1712422547062,125,,,,
ndk,250,,,,,,,,,,,,,,,1712410863284,125,1712410032760,50,,,,,1712413850930,75
crazyman,225,,,,,,,,,1712409813665,100,,,,,,,1712408756750,50,,,,,1712409218145,75
Eoin,225,,,,,,,,,1712412954015,100,,,,,,,1712411776130,50,,,,,1712413133071,75
skidam,225,,,,,,,,,1712413709779,100,,,,,,,1712409407850,50,,,,,1712417760597,75
bquanman,200,,,,,1712409711302,150,,,,,,,,,,,1712409723594,50,,,,,,
jenycek2222,200,,,,,1712409729946,150,,,,,,,,,,,1712408590136,50,,,,,,
Frontinus,175,,,,,,,,,,,,,,,1712409394922,125,1712408685807,50,,,,,,
H4ckNet,175,,,,,,,,,,,,,,,,,1712409061764,50,1712412624027,125,,,,
pvtkillswitch,150,,,,,,,,,1712409588215,100,,,,,,,1712408545589,50,,,,,,
Mujtab4x01,150,,,,,,,,,1712409836722,100,,,,,,,1712408420508,50,,,,,,
Enn,150,,,,,,,,,1712411479031,100,,,,,,,1712409257631,50,,,,,,
Gabbro,150,,,,,,,,,1712411745264,100,,,,,,,1712408785578,50,,,,,,
^someonenew^,150,,,,,,,,,1712412154682,100,,,,,,,1712410555960,50,,,,,,
zukw,150,,,,,,,,,1712412809387,100,,,,,,,1712408961791,50,,,,,,
Lejla,150,,,,,,,,,1712413829916,100,,,,,,,1712412526732,50,,,,,,
Hacker,150,,,,,,,,,1712413869793,100,,,,,,,1712412827967,50,,,,,,
hubbub,150,,,,,,,,,1712417617438,100,,,,,,,1712417474302,50,,,,,,
Sinke,125,,,,,,,,,,,,,,,,,1712408919623,50,,,,,1712409447596,75
0xda568,100,,,,,,,,,1712409755529,100,,,,,,,,,,,,,,
0xA1E,100,,,,,,,,,1712421975546,100,,,,,,,,,,,,,,
Mirko,50,,,,,,,,,,,,,,,,,1712408523923,50,,,,,,
JohnS,50,,,,,,,,,,,,,,,,,1712408675581,50,,,,,,
ganso,50,,,,,,,,,,,,,,,,,1712408677898,50,,,,,,
Raina,50,,,,,,,,,,,,,,,,,1712409111751,50,,,,,,
Moon1e,50,,,,,,,,,,,,,,,,,1712409332562,50,,,,,,
HackTh3Cat707,50,,,,,,,,,,,,,,,,,1712409356796,50,,,,,,
John_X9,50,,,,,,,,,,,,,,,,,1712409499557,50,,,,,,
Olta,50,,,,,,,,,,,,,,,,,1712409558392,50,,,,,,
Francesco2025,50,,,,,,,,,,,,,,,,,1712409734563,50,,,,,,
Mhn422,50,,,,,,,,,,,,,,,,,1712410081803,50,,,,,,
bonothecat,50,,,,,,,,,,,,,,,,,1712410402952,50,,,,,,
Defalt,50,,,,,,,,,,,,,,,,,1712410938213,50,,,,,,
L0wY0,50,,,,,,,,,,,,,,,,,1712411520826,50,,,,,,
IXI,50,,,,,,,,,,,,,,,,,1712411615562,50,,,,,,
VicFrost2099,50,,,,,,,,,,,,,,,,,1712411855822,50,,,,,,
NightGaleWing,50,,,,,,,,,,,,,,,,,1712413462507,50,,,,,,
Theo12,50,,,,,,,,,,,,,,,,,1712414706671,50,,,,,,
LorenzoPapi,50,,,,,,,,,,,,,,,,,1712415342656,50,,,,,,
M4LLOC_X,50,,,,,,,,,,,,,,,,,1712415360560,50,,,,,,
ly4k,50,,,,,,,,,,,,,,,,,1712416700314,50,,,,,,
TopPlayer,50,,,,,,,,,,,,,,,,,1712417565189,50,,,,,,
iKirbz,50,,,,,,,,,,,,,,,,,1712417913431,50,,,,,,
fabulus,50,,,,,,,,,,,,,,,,,1712419298140,50,,,,,,
Stypox,50,,,,,,,,,,,,,,,,,1712421915959,50,,,,,,
think-and-type,50,,,,,,,,,,,,,,,,,1712422438760,50,,,,,,
